Game, Training Size, Validation Size, Min Error, Mean Error, Max Error
114, 75, 19, 0.04729113384821215, 0.13136431206773222, 0.32799208412610703
115, 104, 26, 0.0015064079558753662, 0.17347825177094423, 0.315513544993621
116, 100, 26, 0.015091875342960928, 0.11641276353522076, 0.3685218259429951
117, 72, 19, 0.03137894419598361, 0.14532293906111207, 0.31533889561063466
118, 115, 29, 0.05054966076239914, 0.1557006980273228, 0.34757030826422886
119, 90, 23, 0.03701934854738857, 0.14970554528090285, 0.3453209929569182
120, 92, 23, 0.04186357950649949, 0.12383025045172316, 0.32471472134774026
121, 88, 23, 0.0023417440946046364, 0.11943957797199292, 0.36160599151099215
122, 100, 25, 0.03366454753839694, 0.1239176510607271, 0.2967831906394405
123, 80, 20, 0.010812532779561804, 0.13322854733433767, 0.27969236909355194
124, 62, 16, 0.0042200294257662, 0.14814388454629723, 0.3045391891704486
125, 76, 20, 0.024323928589812693, 0.13470382844810447, 0.3057321079720606
126, 95, 24, 0.019581352959702855, 0.14653815961367297, 0.3269526012651135
127, 109, 28, 0.016607110563691213, 0.14286497970575374, 0.32744950559104746
128, 102, 26, 0.010113115766798658, 0.15099194285213935, 0.3514881458061316
129, 160, 40, 0.05905777007493074, 0.1669713905572664, 0.4839135255142355
130, 88, 23, 0.005267265532843804, 0.09231250673482795, 0.35180389390082095
131, 78, 20, 0.0002937175956687632, 0.1283771923357571, 0.3614298610760792
132, 84, 22, 0.012585491545252549, 0.12214156871111367, 0.23696528704392805
133, 73, 19, 0.02341749926289176, 0.10740867887068235, 0.2757730975226994
134, 100, 25, 0.012076891510041862, 0.15864855821670537, 0.33248566496580345
135, 78, 20, 0.008362178550247748, 0.13104492716144303, 0.2702834538058103
136, 113, 29, 0.02013479444065025, 0.09372420052186098, 0.2726653568266749
137, 102, 26, 0.011876918119566357, 0.15662453845068494, 0.3123217566646333
138, 70, 18, 0.0021211106234901717, 0.08719844654812167, 0.23355414473335773
139, 110, 28, 0.007840513360699908, 0.14163845310869433, 0.34294165923950537
140, 90, 23, 4.842692478669586e-05, 0.09336860412997286, 0.3342973831396937
141, 87, 22, 0.022772607118275973, 0.0913648205567577, 0.3002998768535116
142, 95, 24, 0.017004159947516667, 0.11947438190399111, 0.31722494621904923
143, 112, 29, 0.014587490819304716, 0.090026349934837, 0.30762398819292525
144, 108, 27, 0.010464649550441019, 0.12423496013299873, 0.32399171575369456
145, 104, 27, 0.006957752772645112, 0.13992974983300147, 0.31236214191767925
146, 67, 17, 0.013933676344456566, 0.11245413467636961, 0.23241512032842226
147, 108, 27, 0.016172220620184058, 0.07675796503643982, 0.31590321662225046
148, 80, 21, 0.01247571711194602, 0.08152959016920323, 0.26677983600937766
149, 98, 25, 0.0009773797322321226, 0.07969867439635417, 0.2692777682203716
150, 92, 23, 0.0010899665071584241, 0.09072560529106022, 0.3060967132782286
